source_id,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_params_solved
5886159809145771520,234.87814754630983,-51.92966647208031,327.34078007973835,2.793527679891294,0.4134120056737398,0.022028005,-3.302227591198478,0.02129852,-1.5485164742574093,0.019673457,-0.07559455,0.22250013,-0.17114009,1.0681952,14.252736,15.449952,13.180403,-52.092747,1.4692596,1.3076926,,-31.44429790216949,31
5834048799179622016,239.07357602833633,-58.929746754238394,324.86785979262635,-4.171234297148796,1.0968257249903444,0.017437896,-5.389148041067315,0.01758339,-8.709088599470096,0.01581195,-0.118312195,0.18352132,0.092560135,0.8997015,13.5158615,13.808173,13.033765,-38.69113,4.754237,1.568438,,-37.5716952814247,31
1997660620187242496,352.82510599402093,55.7095835081391,111.75307316671876,-5.413132124820067,1.3979082146101254,0.01691502,2.2925437446362844,0.015878731,-0.018106670541864513,0.014673657,-0.06780419,0.103437595,-0.20644595,0.91897243,14.392729,14.832031,13.781702,-9.318139,4.653149,1.5051429,,51.81390296902788,31
5575457575637318656,101.22456239443456,-41.728372724105775,250.92352679083257,-18.811345641210668,0.3125791292873225,0.016530916,-0.8350914306754176,0.018157097,3.7414078061392937,0.020790193,0.08981394,-0.18650989,0.013621944,0.92713153,14.707296,15.228126,14.029556,46.557808,6.1598473,1.4739584,,-64.40391297923472,31
5318622899329922944,131.68146177444154,-52.4045911139702,270.4404907792988,-5.712417541667976,0.2936728812766542,0.016033277,-4.526853501362085,0.01816669,3.514732789091853,0.01895845,0.041988898,0.023701051,-0.0030267946,1.0863029,14.327293,15.107492,13.459175,9.924018,4.377482,1.3947763,,-65.25779628526259,31
3106721064073683456,99.03342998190477,-2.4103115473837735,213.3359081757156,-4.502971380444077,0.10007425086440463,0.031980895,0.22329354688291111,0.031518504,0.9150419385638272,0.029755482,0.037170663,0.10836419,-0.090314984,0.9718366,15.254424,16.608715,14.120664,112.1014,7.298888,1.2854998,,-25.536175538969008,31
1810103594565483904,304.1263625011649,18.163000037949374,59.07325499207462,-9.473159839009053,0.5038802986475734,0.015975747,-4.261797767220689,0.014215841,-7.682004064724385,0.01182101,-0.26847798,-0.23880006,-0.12851825,1.1101463,13.768681,14.4089365,13.0052185,-38.043446,1.4287992,1.4334568,,36.78919357990358,31
3091289349654373120,123.51347408160207,3.3615873556943745,219.54959842845292,19.884017265003287,0.9929728093714809,0.015087524,6.733375481368198,0.014740301,-6.3277732254125425,0.011859039,0.11125614,-0.08551244,-0.26808703,0.94435847,13.118233,13.487528,12.578663,-19.394905,1.8504379,1.533891,,-16.097918211000948,31
2035452277948494336,297.3621722878968,34.30148517588266,69.62074237003499,4.177957623485253,0.4327658415110563,0.010000798,-2.817705615516174,0.010227862,-5.360218207607359,0.012999549,-0.088788874,-0.03785706,-0.14378168,0.91745377,12.754945,13.486387,11.921092,21.977287,0.7694367,1.4071057,,53.986454218504505,31
3404556292766289408,83.85421190685723,23.622394209817344,183.30344570394038,-4.751097284105088,0.20926790807400938,0.035635054,-0.10500802935855863,0.037618432,-1.1255694415853437,0.023588985,0.1745632,0.35047337,-0.09417519,0.9697259,15.33294,16.260185,14.360556,7.147344,5.66229,1.3564514,,0.3031243020439404,31
2239874308709466368,290.3359818190802,60.95480617462047,92.11186388465961,20.024059883011475,1.914462818909536,0.01723596,-2.1384427464688764,0.021326095,6.400022781217287,0.019923367,-0.17071831,0.08031627,0.11298303,1.6145438,13.870662,14.326856,13.245842,-0.66215,4.1350684,1.4981376,,79.47656122492708,31
5943810708493348224,248.85263977043778,-45.12812850354618,338.7411654171955,1.606453849912218,0.4699391447506223,0.025440833,-4.371371991095728,0.02935293,-3.9404921551730707,0.027319439,-0.057128344,0.31865677,-0.14325096,1.0151743,14.673547,15.554715,13.736212,28.33634,10.128718,1.367808,,-22.859049890334035,31
5860069463373054464,187.55449638531033,-66.59359779991266,300.8223878109863,-3.8088023449087327,0.08833835204713282,0.02519254,-5.825260701561065,0.02534769,-0.6588089459856737,0.030653443,0.030062057,-0.03599276,0.3536182,1.0386674,15.294155,16.218267,14.345895,10.627466,6.498346,1.3594154,,-55.205936752028364,31
4310229724296942080,283.41016174189144,7.923141676452001,40.24025800378517,3.1174443331918313,1.0057172365582372,0.024681456,-2.3384293560245695,0.02331538,-3.26492631786467,0.023578346,-0.26266038,-0.100005604,0.27933168,1.0198241,14.6030855,15.113617,13.931887,-14.364525,7.84497,1.4790608,,30.644364472427757,31
2842974853363171456,344.2221222017873,23.86647167731658,91.81544522325112,-31.993959716676322,1.52632177863589,0.01769685,-13.32897361921335,0.01932401,-5.752590550686303,0.016145863,-0.22172213,-0.16136733,0.004497368,1.0308458,13.854412,14.17674,13.36512,-2.062311,5.473854,1.5574402,,28.042709422007736,31
3663739422840547712,208.30845808325222,0.6997132522222799,334.79104988574306,59.6931907179654,4.118448003962275,0.023397239,10.16360693095216,0.030590277,-44.89898438146701,0.015925013,0.2831073,0.08102636,-0.18028484,1.0490271,11.06584,11.328605,10.640267,9.77534,0.463293,1.5872245,,11.526632012271536,31
4509876880998905984,278.1487597900124,15.07839259158253,44.4078751244073,10.905728166866695,0.9481708994440242,0.017444743,1.1424841582810732,0.017208872,-3.477231756107796,0.019054195,-0.019586742,0.06188223,0.2398173,1.0565039,14.25478,14.646719,13.687417,-35.159695,5.5653844,1.5248369,,38.234251446774394,31
3049064838976492928,103.76707455669404,-11.140618834174786,223.27511231071935,-4.259420569696444,1.0617856463156148,0.026975386,0.40488148910565397,0.02762242,-2.087726739627102,0.026242815,0.043557912,0.0071413387,-0.03709899,1.0830106,14.836831,15.2937,14.207497,10.190991,6.738227,1.4958515,,-33.80323965766165,31
5353407358433640576,162.25554339856262,-54.39581858238637,285.64052778528475,4.313940042612971,0.4337840124045381,0.016546292,-8.725963074436425,0.018287724,5.356696937355732,0.016800132,0.19444641,0.08793794,0.23623706,1.187912,11.22207,11.980734,10.38047,-4.492219,0.33464208,1.3999326,,-54.74042851724923,31
